metadata_version,metadata_file,fingerprint_width,feature_selection_method,ngram_size,min_block_frequency,max_block_frequency,table_name,column_name,bit_index,ngram,ngrams,alias_count,block_presence_count,total_block_count,block_frequency
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,3,0.0,0.05,title,title,0," ""a","["" \""a""]",1,7,155,0.04516129032258064
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,3,0.0,0.05,title,title,1," ""d","["" \""d""]",1,7,155,0.04516129032258064
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,3,0.0,0.05,title,title,2," ""r","["" \""r""]",1,7,155,0.04516129032258064
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,3,0.0,0.05,title,title,3, &.,"["" &."", ""&..""]",2,7,155,0.04516129032258064
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,3,0.0,0.05,title,title,4, [o,"["" [o""]",1,7,155,0.04516129032258064
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,3,0.0,0.05,title,title,5, gx,"["" gx""]",1,7,155,0.04516129032258064
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,3,0.0,0.05,title,title,6, jl,"["" jl""]",1,7,155,0.04516129032258064
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,3,0.0,0.05,title,title,7, k9,"["" k9""]",1,7,155,0.04516129032258064
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,3,0.0,0.05,title,title,0," ""a","["" \""a""]",1,7,155,0.04516129032258064
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,3,0.0,0.05,title,title,1," ""d","["" \""d""]",1,7,155,0.04516129032258064
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,3,0.0,0.05,title,title,2," ""r","["" \""r""]",1,7,155,0.04516129032258064
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,3,0.0,0.05,title,title,3, &.,"["" &."", ""&..""]",2,7,155,0.04516129032258064
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,3,0.0,0.05,title,title,4, [o,"["" [o""]",1,7,155,0.04516129032258064
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,3,0.0,0.05,title,title,5, gx,"["" gx""]",1,7,155,0.04516129032258064
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,3,0.0,0.05,title,title,6, jl,"["" jl""]",1,7,155,0.04516129032258064
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,3,0.0,0.05,title,title,7, k9,"["" k9""]",1,7,155,0.04516129032258064
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,3,0.0,0.05,title,title,8,'24,"[""'24""]",1,7,155,0.04516129032258064
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,3,0.0,0.05,title,title,9,+ k,"[""+ k""]",1,7,155,0.04516129032258064
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,3,0.0,0.05,title,title,10,-s ,"[""-s ""]",1,7,155,0.04516129032258064
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,3,0.0,0.05,title,title,11,22/,"[""22/""]",1,7,155,0.04516129032258064
