configuration,ngram_size,min_block_frequency,max_block_frequency,fingerprint_width,average_ngrams_per_selected_bit,query_count,zero_bit_query_count
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p01,2,0.0,0.01,8,4.625,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p01,2,0.0,0.01,16,3.875,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p01,2,0.0,0.01,32,4.6875,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p01,2,0.0,0.01,64,4.078125,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p01,2,0.0,0.01,128,3.15,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,2,0.0,0.05,8,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,2,0.0,0.05,16,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,2,0.0,0.05,32,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,2,0.0,0.05,64,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p1,2,0.0,0.1,8,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p1,2,0.0,0.1,16,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p1,2,0.0,0.1,32,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p25,2,0.0,0.25,8,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p25,2,0.0,0.25,16,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p5,2,0.0,0.5,8,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p5,2,0.0,0.5,16,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_1,2,0.0,1,8,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_1,2,0.0,1,16,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0p01/max_block_frequency_0p01,2,0.01,0.01,8,nan,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0p01/max_block_frequency_0p05,2,0.01,0.05,8,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0p01/max_block_frequency_0p05,2,0.01,0.05,16,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0p01/max_block_frequency_0p05,2,0.01,0.05,32,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0p01/max_block_frequency_0p05,2,0.01,0.05,64,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0p01/max_block_frequency_0p1,2,0.01,0.1,8,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0p01/max_block_frequency_0p1,2,0.01,0.1,16,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0p01/max_block_frequency_0p1,2,0.01,0.1,32,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0p01/max_block_frequency_0p25,2,0.01,0.25,8,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0p01/max_block_frequency_0p25,2,0.01,0.25,16,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0p01/max_block_frequency_0p5,2,0.01,0.5,8,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0p01/max_block_frequency_0p5,2,0.01,0.5,16,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0p01/max_block_frequency_1,2,0.01,1,8,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0p01/max_block_frequency_1,2,0.01,1,16,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0p05/max_block_frequency_0p05,2,0.05,0.05,8,nan,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0p05/max_block_frequency_0p1,2,0.05,0.1,8,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0p05/max_block_frequency_0p1,2,0.05,0.1,16,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0p05/max_block_frequency_0p1,2,0.05,0.1,32,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0p05/max_block_frequency_0p25,2,0.05,0.25,8,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0p05/max_block_frequency_0p25,2,0.05,0.25,16,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0p05/max_block_frequency_0p5,2,0.05,0.5,8,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0p05/max_block_frequency_0p5,2,0.05,0.5,16,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0p05/max_block_frequency_1,2,0.05,1,8,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_2/min_block_frequency_0p05/max_block_frequency_1,2,0.05,1,16,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p01,3,0.0,0.01,8,53.125,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p01,3,0.0,0.01,16,66.9375,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p01,3,0.0,0.01,32,68.4375,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p01,3,0.0,0.01,64,71.71875,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p01,3,0.0,0.01,128,62.3046875,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p01,3,0.0,0.01,256,58.967532467532465,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,3,0.0,0.05,8,1.125,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,3,0.0,0.05,16,1.0625,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,3,0.0,0.05,32,1.03125,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,3,0.0,0.05,64,1.0238095238095237,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p1,3,0.0,0.1,8,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p1,3,0.0,0.1,16,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p1,3,0.0,0.1,32,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p25,3,0.0,0.25,8,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p25,3,0.0,0.25,16,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p5,3,0.0,0.5,8,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p5,3,0.0,0.5,16,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_1,3,0.0,1,8,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_1,3,0.0,1,16,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0p01/max_block_frequency_0p01,3,0.01,0.01,8,nan,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0p01/max_block_frequency_0p05,3,0.01,0.05,8,1.125,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0p01/max_block_frequency_0p05,3,0.01,0.05,16,1.0625,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0p01/max_block_frequency_0p05,3,0.01,0.05,32,1.03125,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0p01/max_block_frequency_0p05,3,0.01,0.05,64,1.0238095238095237,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0p01/max_block_frequency_0p1,3,0.01,0.1,8,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0p01/max_block_frequency_0p1,3,0.01,0.1,16,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0p01/max_block_frequency_0p1,3,0.01,0.1,32,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0p01/max_block_frequency_0p25,3,0.01,0.25,8,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0p01/max_block_frequency_0p25,3,0.01,0.25,16,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0p01/max_block_frequency_0p5,3,0.01,0.5,8,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0p01/max_block_frequency_0p5,3,0.01,0.5,16,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0p01/max_block_frequency_1,3,0.01,1,8,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0p01/max_block_frequency_1,3,0.01,1,16,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0p05/max_block_frequency_0p05,3,0.05,0.05,8,nan,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0p05/max_block_frequency_0p1,3,0.05,0.1,8,1.0,190,190
fingerprint_distribution_entropy_equivalence_classes/ngram_3/min_block_frequency_0p05/max_block_frequency_0p1,3,0.05,0.1,16,1.0,190,190
