configuration,point_id,fingerprint_width,ngram_size,min_block_frequency,max_block_frequency,metadata_file,blocks_skipped,skipped_partitions,query_count
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p01,block-infix-v000,32,2,0.0,0.01,block_infix_fingerprint_v000.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p01,block-infix-v001,64,2,0.0,0.01,block_infix_fingerprint_v001.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p01,block-infix-v002,128,2,0.0,0.01,block_infix_fingerprint_v002.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,block-infix-v000,32,2,0.0,0.05,block_infix_fingerprint_v000.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,block-infix-v001,64,2,0.0,0.05,block_infix_fingerprint_v001.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,block-infix-v002,128,2,0.0,0.05,block_infix_fingerprint_v002.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,block-infix-v003,256,2,0.0,0.05,block_infix_fingerprint_v003.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,block-infix-v004,512,2,0.0,0.05,block_infix_fingerprint_v004.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,block-infix-v005,800,2,0.0,0.05,block_infix_fingerprint_v005.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,block-infix-v006,1024,2,0.0,0.05,block_infix_fingerprint_v006.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p1,block-infix-v000,32,2,0.0,0.1,block_infix_fingerprint_v000.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p1,block-infix-v001,64,2,0.0,0.1,block_infix_fingerprint_v001.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p1,block-infix-v002,128,2,0.0,0.1,block_infix_fingerprint_v002.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p1,block-infix-v003,256,2,0.0,0.1,block_infix_fingerprint_v003.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p1,block-infix-v004,512,2,0.0,0.1,block_infix_fingerprint_v004.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p1,block-infix-v005,800,2,0.0,0.1,block_infix_fingerprint_v005.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p1,block-infix-v006,1024,2,0.0,0.1,block_infix_fingerprint_v006.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p25,block-infix-v000,32,2,0.0,0.25,block_infix_fingerprint_v000.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p25,block-infix-v001,64,2,0.0,0.25,block_infix_fingerprint_v001.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p25,block-infix-v002,128,2,0.0,0.25,block_infix_fingerprint_v002.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p25,block-infix-v003,256,2,0.0,0.25,block_infix_fingerprint_v003.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p25,block-infix-v004,512,2,0.0,0.25,block_infix_fingerprint_v004.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p25,block-infix-v005,800,2,0.0,0.25,block_infix_fingerprint_v005.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p25,block-infix-v006,1024,2,0.0,0.25,block_infix_fingerprint_v006.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p5,block-infix-v000,32,2,0.0,0.5,block_infix_fingerprint_v000.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p5,block-infix-v001,64,2,0.0,0.5,block_infix_fingerprint_v001.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p5,block-infix-v002,128,2,0.0,0.5,block_infix_fingerprint_v002.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p5,block-infix-v003,256,2,0.0,0.5,block_infix_fingerprint_v003.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p5,block-infix-v004,512,2,0.0,0.5,block_infix_fingerprint_v004.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p5,block-infix-v005,800,2,0.0,0.5,block_infix_fingerprint_v005.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p5,block-infix-v006,1024,2,0.0,0.5,block_infix_fingerprint_v006.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_1,block-infix-v000,32,2,0.0,1,block_infix_fingerprint_v000.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_1,block-infix-v001,64,2,0.0,1,block_infix_fingerprint_v001.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_1,block-infix-v002,128,2,0.0,1,block_infix_fingerprint_v002.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_1,block-infix-v003,256,2,0.0,1,block_infix_fingerprint_v003.json,6,6,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_1,block-infix-v004,512,2,0.0,1,block_infix_fingerprint_v004.json,15,15,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_1,block-infix-v005,800,2,0.0,1,block_infix_fingerprint_v005.json,15,15,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_1,block-infix-v006,1024,2,0.0,1,block_infix_fingerprint_v006.json,15,15,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p01,block-infix-v000,32,3,0.0,0.01,block_infix_fingerprint_v000.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p01,block-infix-v001,64,3,0.0,0.01,block_infix_fingerprint_v001.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p01,block-infix-v002,128,3,0.0,0.01,block_infix_fingerprint_v002.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p01,block-infix-v003,256,3,0.0,0.01,block_infix_fingerprint_v003.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,block-infix-v000,32,3,0.0,0.05,block_infix_fingerprint_v000.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,block-infix-v001,64,3,0.0,0.05,block_infix_fingerprint_v001.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,block-infix-v002,128,3,0.0,0.05,block_infix_fingerprint_v002.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,block-infix-v003,256,3,0.0,0.05,block_infix_fingerprint_v003.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,block-infix-v004,512,3,0.0,0.05,block_infix_fingerprint_v004.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,block-infix-v005,800,3,0.0,0.05,block_infix_fingerprint_v005.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,block-infix-v006,1024,3,0.0,0.05,block_infix_fingerprint_v006.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p1,block-infix-v000,32,3,0.0,0.1,block_infix_fingerprint_v000.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p1,block-infix-v001,64,3,0.0,0.1,block_infix_fingerprint_v001.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p1,block-infix-v002,128,3,0.0,0.1,block_infix_fingerprint_v002.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p1,block-infix-v003,256,3,0.0,0.1,block_infix_fingerprint_v003.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p1,block-infix-v004,512,3,0.0,0.1,block_infix_fingerprint_v004.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p1,block-infix-v005,800,3,0.0,0.1,block_infix_fingerprint_v005.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p1,block-infix-v006,1024,3,0.0,0.1,block_infix_fingerprint_v006.json,0,0,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p25,block-infix-v000,32,3,0.0,0.25,block_infix_fingerprint_v000.json,0,0,190
